Date,Open,High,Low,Close,Adj Close,Volume
12/8/21,171.220001,171.789993,169.839996,170.25,167.961349,5614400
12/9/21,169.289993,171.169998,167.990005,168.100006,165.840271,5171600
12/10/21,168.5,170.240005,167.330002,169.059998,166.787354,4791100
12/13/21,168.809998,169.389999,165.259995,166.839996,164.597198,5972300
12/14/21,166.289993,167.080002,164.210007,165.399994,163.176544,4872200
12/15/21,165,165.669998,161.820007,163.899994,161.696686,7144600
12/16/21,162.699997,165.940002,162.529999,162.720001,160.532578,7138100
12/17/21,161.630005,162.860001,160.550003,161.360001,159.190857,7705100
12/20/21,159.339996,159.600006,155.470001,156.979996,154.869736,8411900
12/21/21,166.690002,171.190002,164.710007,166.630005,164.390015,13862900
12/22/21,167.240005,169,164.089996,165.440002,163.216019,5811300
12/23/21,166.25,167.160004,165.440002,165.669998,163.442902,3876900
12/27/21,166.520004,167.690002,165.479996,167.580002,165.32724,3769300
12/28/21,167.800003,168.25,166.300003,166.419998,164.182831,2658600
12/29/21,167.070007,169.800003,166.600006,168.779999,166.511093,3830900
12/30/21,168.309998,170.119995,167.199997,167.490005,165.23848,2666800
12/31/21,167.559998,167.720001,166.210007,166.669998,164.429489,2752000
1/3/22,167.529999,167.910004,163.309998,164.669998,162.456375,5670500
1/4/22,165.880005,167.179993,165,166.389999,164.153244,6064200
1/5/22,166.490005,167.009995,162.100006,162.25,160.068893,5021000
1/6/22,162.089996,163.190002,159.059998,161.039993,158.875137,4144600
1/7/22,160.770004,161.139999,156.860001,156.970001,154.859894,5108000
1/10/22,150.520004,151.330002,148.779999,150.440002,148.417648,10439000
1/11/22,150.479996,150.839996,147.600006,150.300003,148.279541,8175400
1/12/22,152.130005,153.460007,150.740005,152.210007,150.163864,6351200
1/13/22,153.199997,153.600006,149.020004,149.589996,147.579056,4990900
1/14/22,148.389999,148.839996,146.850006,148.179993,146.188034,6030500
1/18/22,148.059998,148.830002,146.300003,146.949997,144.974579,6931000
1/19/22,147.759995,149.100006,145.020004,145.110001,143.159302,4823800
1/20/22,145.460007,147.380005,142.5,142.729996,140.811295,5366500
1/21/22,144.320007,146.360001,142.850006,142.949997,141.028336,7553400
1/24/22,140.809998,146.309998,139.559998,146,144.037338,9733200
1/25/22,144.970001,147.960007,142.509995,145.479996,143.524323,8195400
